Talitha,44127,ι UMa,UMa
Alkaphrah,44471,κ UMa,UMa
Suhail,44816,λ Vel,Vel
Nahn,44946,ξ Cnc,Cnc
Miaplacidus,45238,β Car,Car
Aspidiske,45556,ι Car,Car
Markeb,45941,κ Vel,Vel
Alphard,46390,α Hya,Hya
Intercrus,46471,,UMa
Alterf,46750,λ Leo,Leo
Illyrian,47087,,LMi
Kalausi,47202,,Vel
Ukdah,47431,ι Hya,Hya
Subra,47508,ο Leo,Leo
Natasha,48235,,Vel
Zhang,48356,υ1 Hya,Hya
Rasalas,48455,μ Leo,Leo
Felis,48615,,Hya
Regulus,49669,α Leo,Leo
Adhafera,50335,ζ Leo,Leo
Tania Borealis,50372,λ UMa,UMa
Algieba,50583,γ1 Leo,Leo
Tania Australis,50801,μ UMa,UMa
Shaomin,51624,ρ Leo,Leo
Macondo,52521,,Ant
Praecipua,53229,46 LMi,LMi
Aiolos,53524,,Car
Chalawan,53721,47 UMa,UMa
Alkes,53740,α Crt,Crt
Merak,53910,β UMa,UMa
Dubhe,54061,α UMa,UMa
Dingolay,54158,,Leo
Zosma,54872,δ Leo,Leo
Chertan,54879,θ Leo,Leo
Alula Australis,55203,ξ UMa,UMa
Alula Borealis,55219,ν UMa,UMa
Shama,55664,,Leo
Giausar,56211,λ Dra,Dra
Formosa,56508,,Leo
Sagarmatha,56572,,Leo
Noquisi,57087,,Leo
Uklun,57291,,Cen
Flegetonte,57370,,Vir
Taiyangshou,57399,χ UMa,UMa
Denebola,57632,β Leo,Leo
Zavijava,57757,β Vir,Vir
Aniara,57820,,UMa
Phecda,58001,γ UMa,UMa
Tonatiuh,58952,,Cam
Alchiba,59199,α Crv,Crv
Imai,59747,δ Cru,Cru
Megrez,59774,δ UMa,UMa
Gienah,59803,γ Crv,Crv
Zaniah,60129,η Vir,Vir
Ginan,60260,ε Cru,Cru
Acrux,60718,α Cru,Cru
Algorab,60965,δ Crv,Crv
Gacrux,61084,γ Cru,Cru
Funi,61177,,Dra
Chara,61317,β CVn,CVn
Kraz,61359,β Crv,Crv
Phyllon Kissinou,61394,,Com
Porrima,61941,γ Vir,Vir
La Superba,62223,Y CVn,CVn
Tianyi,62423,7 Dra,Dra
Mimosa,62434,β Cru,Cru
Gar,62452,,Vir
Alioth,62956,ε UMa,UMa
Taiyi,63076,8 Dra,Dra
Minelauva,63090,δ Vir,Vir
Cor Caroli,63125,α2 CVn,CVn
Vindemiatrix,63608,ε Vir,Vir
Diadem,64241,α Com,Com
Kulou,65109,ι Cen,Cen
Mizar,65378,ζ UMa,UMa
Matza,65426,,Cen
Spica,65474,α Vir,Vir
Alcor,65477,80 UMa,UMa
Dofida,66047,,Cen
Liesma,66192,,UMa
Heze,66249,ζ Vir,Vir
Alkaid,67301,η UMa,UMa
Heng,67464,ν Cen,Cen
Muphrid,67927,η Boo,Boo
Leepwal,68002,ζ Cen,Cen
Hadar,68702,β Cen,Cen
Thuban,68756,α Dra,Dra
Menkent,68933,θ Cen,Cen
Kang,69427,κ Vir,Vir
Arcturus,69673,α Boo,Boo
Syrma,69701,ι Vir,Vir
Xuange,69732,λ Boo,Boo
Khambalia,69974,λ Vir,Vir
Elgafar,70755,ϕ Vir,Vir
Proxima Centauri,70890,α Cen,Cen
Seginus,71075,γ Boo,Boo
Toliman,71681,α Cen,Cen
Rigil Kentaurus,71683,α Cen,Cen
Uridim,71860,α Lup,Lup
Xami,71908,α Cir,Cir
Izar,72105,ε Boo,Boo
Paradys,72370,α Aps,Aps
Merga,72487,38 Boo,Boo
Solitaire,72571,E Hya,Hya
